@RELATION TenisPartida  
@ATTRIBUTE Jogador1 integer
@ATTRIBUTE Jogador2 integer
@ATTRIBUTE Faltas integer
@ATTRIBUTE resultado {Vitoria, Derrota}  
@DATA 
9,7,3,Vitoria
8,2,23,Derrota
4,6,32,Derrota
0,9,35,Derrota
6,6,42,Derrota
10,0,45,Derrota
9,4,24,Vitoria
2,4,30,Derrota
2,9,5,Vitoria
0,7,45,Derrota
6,5,48,Derrota
5,3,42,Derrota
8,8,24,Vitoria
1,7,6,Derrota
0,7,24,Derrota
10,0,47,Derrota
0,5,48,Derrota
5,5,18,Vitoria
9,6,16,Vitoria
3,7,18,Vitoria
2,10,23,Vitoria
6,5,4,Vitoria
9,8,35,Derrota
10,1,28,Derrota
8,3,43,Derrota
6,10,38,Derrota
7,0,8,Derrota
2,9,15,Vitoria
1,3,36,Derrota
5,3,10,Derrota
7,5,44,Derrota
10,0,2,Derrota
6,2,12,Derrota
4,1,14,Derrota
7,7,17,Vitoria
7,4,20,Vitoria
7,9,17,Vitoria
6,4,6,Derrota
5,2,23,Derrota
9,1,32,Derrota
5,2,49,Derrota
9,9,31,Derrota
8,9,18,Vitoria
0,10,22,Vitoria
4,4,38,Derrota
9,6,34,Derrota
8,1,22,Derrota
7,4,26,Derrota
6,1,40,Derrota
4,2,7,Derrota
1,6,22,Derrota
6,6,7,Vitoria
3,2,28,Derrota
7,10,46,Derrota
9,9,11,Vitoria
8,6,36,Derrota
1,8,31,Derrota
6,0,45,Derrota
9,10,21,Vitoria
4,0,29,Derrota
1,10,17,Vitoria
5,6,22,Vitoria
7,4,46,Derrota
10,9,22,Vitoria
6,3,42,Derrota
5,9,20,Vitoria
2,7,38,Derrota
6,5,22,Vitoria
6,9,31,Derrota
8,4,23,Vitoria
4,8,20,Vitoria
4,0,37,Derrota
2,5,31,Derrota
6,1,38,Derrota
8,6,43,Derrota
5,7,5,Vitoria
7,8,40,Derrota
3,5,41,Derrota
7,5,46,Derrota
10,8,37,Derrota
2,2,5,Derrota
5,0,34,Derrota
0,10,47,Derrota
2,4,3,Derrota
7,9,20,Vitoria
6,0,44,Derrota
2,7,40,Derrota
10,1,24,Derrota
1,6,2,Derrota
3,1,18,Derrota
4,5,27,Derrota
10,8,45,Derrota
3,9,15,Vitoria
3,2,35,Derrota
4,3,24,Derrota
4,4,29,Derrota
10,4,17,Vitoria
10,1,18,Derrota
9,4,9,Vitoria
8,6,5,Vitoria
1,0,10,Derrota
1,1,30,Derrota
8,8,40,Derrota
5,9,31,Derrota
2,5,3,Derrota
10,0,5,Derrota
10,6,3,Vitoria
8,10,1,Vitoria
10,6,22,Vitoria
10,10,3,Vitoria
5,7,12,Vitoria
3,1,10,Derrota
10,2,25,Derrota
8,4,37,Derrota
7,5,31,Derrota
7,0,37,Derrota
8,2,32,Derrota
10,4,26,Derrota
6,6,36,Derrota
8,0,2,Derrota
4,0,7,Derrota
9,8,30,Derrota
4,2,7,Derrota
8,9,43,Derrota
2,3,5,Derrota
8,2,22,Derrota
3,8,41,Derrota
10,2,31,Derrota
2,5,11,Derrota
7,0,14,Derrota
7,5,39,Derrota
4,4,11,Derrota
6,1,36,Derrota
4,2,11,Derrota
8,9,28,Derrota
1,6,15,Derrota
3,8,31,Derrota
6,0,6,Derrota
10,10,7,Vitoria
7,8,0,Vitoria
8,1,26,Derrota
1,5,33,Derrota
0,0,19,Derrota
8,8,0,Vitoria
1,8,36,Derrota
2,3,14,Derrota
6,5,1,Vitoria
8,1,34,Derrota
3,0,48,Derrota
3,6,11,Derrota
2,3,9,Derrota
6,7,4,Vitoria
4,1,13,Derrota
6,3,26,Derrota
0,8,33,Derrota
3,2,36,Derrota
4,2,28,Derrota
3,4,17,Derrota
9,10,41,Derrota
1,7,6,Derrota
7,3,6,Derrota
10,9,3,Vitoria
6,6,8,Vitoria
10,8,28,Derrota
9,4,34,Derrota
10,7,8,Vitoria
7,7,47,Derrota
3,5,29,Derrota
6,1,18,Derrota
0,7,24,Derrota
2,10,50,Derrota
9,1,44,Derrota
10,5,35,Derrota
4,2,27,Derrota
6,6,19,Vitoria
5,2,32,Derrota
9,10,18,Vitoria
3,1,5,Derrota
7,4,12,Vitoria
3,4,12,Derrota
9,6,5,Vitoria
8,0,48,Derrota
3,2,5,Derrota
3,10,37,Derrota
6,6,46,Derrota
0,9,9,Vitoria
4,4,42,Derrota
9,0,24,Derrota
1,2,35,Derrota
6,4,19,Derrota
2,9,9,Vitoria
4,4,9,Derrota
1,1,19,Derrota
0,8,5,Derrota
5,0,10,Derrota
0,8,46,Derrota
6,0,6,Derrota
7,8,48,Derrota
10,2,15,Vitoria
0,1,33,Derrota
7,5,28,Derrota
8,9,33,Derrota
0,2,32,Derrota
5,6,6,Vitoria
8,9,42,Derrota
2,4,41,Derrota
1,1,40,Derrota
0,2,18,Derrota
3,7,8,Vitoria
6,5,4,Vitoria
7,4,26,Derrota
10,0,14,Derrota
2,3,11,Derrota
9,0,15,Derrota
0,0,22,Derrota
10,1,45,Derrota
8,8,35,Derrota
6,10,25,Derrota
4,3,48,Derrota
7,3,35,Derrota
1,0,31,Derrota
5,4,38,Derrota
9,1,15,Derrota
3,3,10,Derrota
5,9,28,Derrota
0,9,1,Vitoria
6,9,27,Derrota
5,1,31,Derrota
8,9,9,Vitoria
2,2,20,Derrota
8,0,39,Derrota
6,8,40,Derrota
4,0,18,Derrota
5,6,12,Vitoria
3,5,43,Derrota
2,3,42,Derrota
4,10,46,Derrota
3,1,29,Derrota
2,0,39,Derrota
1,6,15,Derrota
4,0,10,Derrota
1,10,49,Derrota
3,10,5,Vitoria
2,1,33,Derrota
3,6,37,Derrota
10,3,21,Vitoria
7,10,22,Vitoria
5,2,28,Derrota
6,5,47,Derrota
2,8,20,Vitoria
9,1,43,Derrota
1,1,0,Derrota
6,7,15,Vitoria
4,8,14,Vitoria
6,5,27,Derrota
0,6,28,Derrota
1,4,34,Derrota
10,7,36,Derrota
2,1,12,Derrota
9,2,45,Derrota
10,1,39,Derrota
0,1,23,Derrota
5,2,50,Derrota
6,0,10,Derrota
5,2,12,Derrota
0,5,37,Derrota
8,9,48,Derrota
2,4,13,Derrota
8,8,32,Derrota
0,0,18,Derrota
8,10,17,Vitoria
1,9,37,Derrota
9,3,44,Derrota
3,6,5,Derrota
5,6,18,Vitoria
10,4,41,Derrota
3,5,46,Derrota
0,4,32,Derrota
7,5,9,Vitoria
7,10,13,Vitoria
5,4,1,Derrota
6,3,14,Derrota
9,3,39,Derrota
5,2,25,Derrota
3,3,43,Derrota
4,0,17,Derrota
2,7,46,Derrota
7,2,21,Derrota
7,6,45,Derrota
7,8,23,Vitoria
7,0,16,Derrota
2,1,4,Derrota
1,10,24,Vitoria
4,3,21,Derrota
4,10,4,Vitoria
0,1,50,Derrota
3,6,9,Derrota
10,4,25,Derrota
6,9,48,Derrota
8,3,15,Vitoria
8,8,48,Derrota
3,4,23,Derrota
8,9,13,Vitoria
3,2,43,Derrota
1,6,0,Derrota
6,9,41,Derrota
6,10,17,Vitoria
